side,ts_event,ts_recv,price,size,action,order_id,symbol
b,2024-11-12T06:50:46.375984901Z,2024-11-11 23:50:45.989660,3387.6,0.15020616,add,OKHQZ3-JWP7F-7BKKW5,ETH/USD
b,2024-11-12T06:50:46.376958774Z,2024-11-11 23:50:45.990055,220.75,1.22237986,add,OOWY7R-735UK-WD52FY,SOL/USD
a,2024-11-12T06:50:46.380715415Z,2024-11-11 23:50:45.990818,220.92,45.266321,add,OYBXHW-TV2DQ-FVDCBF,SOL/USD
b,2024-11-12T06:50:46.380731345Z,2024-11-11 23:50:45.991007,220.87,45.27375653,add,OQHGZP-F4X4P-NYZAEM,SOL/USD
a,2024-11-12T06:50:46.380868906Z,2024-11-11 23:50:45.991192,220.92,45.26640986,add,OPXTKN-KC6CM-ZPLMQG,SOL/USD
b,2024-11-12T06:50:46.381077671Z,2024-11-11 23:50:45.991406,220.8,153.9791407,add,ODL55J-576NL-375UWI,SOL/USD
b,2024-11-12T06:50:46.395586861Z,2024-11-11 23:50:45.991946,220.87,45.27375653,delete,OQHGZP-F4X4P-NYZAEM,SOL/USD
b,2024-11-12T06:50:40.612000700Z,2024-11-11 23:50:45.991946,220.68,17.92287169,add,OPPMP7-BHVVM-XHEC5Q,SOL/USD
b,2024-11-12T06:50:46.089869366Z,2024-11-11 23:50:45.991946,220.68,560.50686993,add,ORVKTG-GB7HF-EPNJVK,SOL/USD
a,2024-11-12T06:50:46.405750496Z,2024-11-11 23:50:45.998583,220.95,135.7780053,add,OO7DX6-EIZB3-4KFKY5,SOL/USD
b,2024-11-12T06:50:46.405887122Z,2024-11-11 23:50:45.998701,220.84,99.61963412,add,O63YIC-274DN-OKABPV,SOL/USD
a,2024-11-12T06:50:46.407335288Z,2024-11-11 23:50:45.999783,220.92,45.26640986,delete,OPXTKN-KC6CM-ZPLMQG,SOL/USD
a,2024-11-12T06:50:46.408952632Z,2024-11-11 23:50:46.001793,220.92,45.266321,delete,OYBXHW-TV2DQ-FVDCBF,SOL/USD
a,2024-11-12T06:50:46.410157535Z,2024-11-11 23:50:46.008069,220.96,2.25539133,delete,OGGVSK-7IMB4-B7FPHO,SOL/USD
a,2024-11-12T06:49:38.485171858Z,2024-11-11 23:50:46.008069,221.07,0.08346217,add,O6LV7C-QVOJ6-SWFKP7,SOL/USD
a,2024-11-12T06:50:46.410322868Z,2024-11-11 23:50:46.008534,0.399771,11510.00612699,add,OQX3TN-5YIZW-W4HMJ6,DOGE/USD
b,2024-11-12T06:50:46.410593687Z,2024-11-11 23:50:46.008800,0.3995826,13908.79617982,add,OLPFME-ZCF44-OAZ3WB,DOGE/USD
b,2024-11-12T06:50:46.411031584Z,2024-11-11 23:50:46.009037,0.399202,45181.98064847,delete,O4WXPT-ZBJU3-5A7GK5,DOGE/USD
b,2024-11-12T06:50:44.756120998Z,2024-11-11 23:50:46.009037,0.3991296,2193.75,add,OXB26X-5O54N-JA3ZAW,DOGE/USD
b,2024-11-12T06:50:46.411249154Z,2024-11-11 23:50:46.009350,220.84,99.61963412,delete,O63YIC-274DN-OKABPV,SOL/USD
b,2024-11-12T06:50:40.612000700Z,2024-11-11 23:50:46.009350,220.68,17.92287169,add,OPPMP7-BHVVM-XHEC5Q,SOL/USD
b,2024-11-12T06:50:46.089869366Z,2024-11-11 23:50:46.009350,220.68,560.50686993,add,ORVKTG-GB7HF-EPNJVK,SOL/USD
a,2024-11-12T06:50:46.412894078Z,2024-11-11 23:50:46.009569,0.3997035,2193.75,delete,OBRDBM-OS5MD-7FYQT7,DOGE/USD
a,2024-11-12T06:50:44.942275751Z,2024-11-11 23:50:46.009569,0.3999167,2193.75,add,OGJPVK-7WYKI-YYJMMS,DOGE/USD
b,2024-11-12T06:50:46.413983435Z,2024-11-11 23:50:46.009770,0.3995826,13908.79617982,delete,OLPFME-ZCF44-OAZ3WB,DOGE/USD
b,2024-11-12T06:50:43.228524560Z,2024-11-11 23:50:46.009770,0.399127,5631.01938712,add,OEF7MD-WPV35-USCX3F,DOGE/USD
